QUEST_20150317_000001	Pilih user untuk memodifikasi quest.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000601	Syukurlah, Para pekerja berkumpul dari berbagai wilayah untuk membantu memperbaiki Fedimian.  {nl}Saat itu ketika Divine Day. {nl}Aku berpikir bahwa dunia akan segera berakhir .	고맙게도, 각지에서 일꾼들이 모여서 페디미안의 복구를 돕고 있어.{nl}신수의 날엔 정말 세상이 끝나는 줄 알았는데 정말 눈물나는 광경이지.
QUEST_20150317_000602	Fedimian Guard	페디미안 경비병
QUEST_20150317_000603	Hampir tidak mungkin melihat seluruh bagian patung Goddess Zemyna. {nl}Sebagian patung terpendam di bawah tanah akibat gempa.	제미나 거대 여신상을 한 눈에 보는 건 절대 불가능합니다.{nl}대지진으로 하반신이 땅에 묻혀버렸는데도 말이지요.
QUEST_20150317_000604	Apa?  {nl}Bagaimana kamu bisa ke sini?	어라? 이 곳엔 어떻게 올라오신거죠?
QUEST_20150317_000605	The Flag of the Kingdom	왕국기
QUEST_20150317_000606	Eternal Kingdom berjaya dan bersinar.  {nl}Zachariel berhasil menyatukan seluruh daratan hingga menjadi satu kerajaan yang sangat kuat.	찬란히 빛나는 영원한 왕국이여.{nl}자카리엘은 이 땅을 하나의 강력한 왕국으로 통일시키는데 성공했다.{nl}
QUEST_20150317_000607	Ini adalah satu-satunya kerajaan di daratan ini. Semua orang mengetahuinya.	이 땅의 왕국은 단 하나이기 때문에 이를 칭하는 이름도 필요치 않다.{nl}
QUEST_20150317_000608	Kisah Ribuan Tahun	천년제 이야기
QUEST_20150317_000609	Dimulainya festival untuk merayakan seribu tahun kerajaan telah berdiri.  {nl}	왕국 건국 천년을 알리는 축제가 시작되었다.{nl}
QUEST_20150317_000610	Banyak orang yang hadir dan menari untuk menghormati Goddess dan mempersembahkan makanan.	많은 사람들은 벌꿀술을 들이켰고 여신께 올리는 춤을 추었으며 곳곳에서 웃음소리가 끊이지 않았다.
QUEST_20150317_000611	Festival Zensho	제례 전서
QUEST_20150317_000612	Saat Zachariel mendirikan kerajaan, dia membuat kota besar di sekitar pohon yang disebut Divine Tree.	자카리엘이 왕국을 건국할 때 신수라고 불리는 나무를 중심으로 수도를 정했다.{nl}
QUEST_20150317_000613	Setiap tahun sang Raja memberkati pohon keramat ini bersama para Priest.	매년 국왕은 많은 사제들과 함께 이 성스러운 나무를 축복하였다.
QUEST_20150317_000614	Peristiwa Divine Day	신수의 날의 기록
QUEST_20150317_000615	Di tahun 1091, sebelum sampai 100 tahun setelah perayaan itu.  {nl}Divine Tree tiba-tiba keluar dari tanah dan menghancurkan beberapa bagian dari kota.	왕국 건국 1091년, 천년제를 치른 뒤 백년도 채 안되었을 때의 일이다.{nl}신수가 갑자기 솟구쳐 오르면서 수도와 많은 도시가 피해를 입었다.{nl}
QUEST_20150317_000616	Tinggi dari pohon itu mampu membelah langit, tidak ada satupun yang mampu mengukur tinggi pohon itu.	그 나무의 높이는 하늘을 찌를 정도이고 그 둘레는 누구도 잴 수 없었다.
QUEST_20150317_000617	Flora	식물지
QUEST_20150317_000618	Banyak tanaman dan hewan berubah menjadi monster ganas pada hari Divine Tree.	신수의 날에 많은 식물과 동물들이 포악한 몬스터로 변했다.{nl}
QUEST_20150317_000619	Banyak keputusan dan perubahan di dalam kerajaan, begitu pula sebaliknya.	변화의 작용 원리를 깨우친다면 그 반대의 일도 가능할 것이다.
QUEST_20150317_000620	Deklarasi Klaipeda Priest-Bishop	클라페다 주교령 포고문
QUEST_20150317_000621	Saat Divine Day, Market di Klaipeda menghilang dan sang raja meninggal.  {nl}Banyak pejabat dan perdana mentri menghilang, jadi kita tidak bisa berharap banyak pada kerajaan.	신수의 날에 클라페다 시장은 실종되었고 국왕 또한 승하하셨다.{nl}여러 대신들과 왕실의 고관들 역시 대부분 사망하였기 때문에 중앙의 지원도 바랄 수 없다.{nl}
QUEST_20150317_000622	Pemerintahan darurat di bangun oleh bishop hanya itulah cara terakhir.  {nl}  {nl} - Klaipeda Bishop Baek.	이에 어쩔 수 없이 클라페다는 주교에 의한 비상 자치권을 행사한다.{nl}{nl}-클라페다 주교 백.
QUEST_20150317_000623	Hero Biography	영웅전
QUEST_20150317_000624	Jika bukan karena empat pahlawan tersebut, kota ini mungkin sudah hancur.  {nl}Holy weapon milik mereka sangat luar biasa pada Divine Day. 	위대한 4명의 영웅이 아니었다면 아마 대부분의 도시는 전부 파괴되었을지도 모릅니다.{nl}그들이 지니고 있는 성스러운 무기는 신수의 날에 많은 활약을 하였습니다.{nl}
QUEST_20150317_000625	Diantara mereka, Paladin Master adalah salah satu yang banyak menyelamatkan nyawa di capital.  {nl}Saat ini, dia pergi ke Silver Stream Gorge untuk melawan iblis yang kuat.	그 중 팔라딘 마스터는 수도에서 많은 이들을 구한 영웅입니다.{nl}현재 그는 거대한 악에 맞서기 위해 은수 협곡으로.. 
QUEST_20150317_000626	Sejarah Pemberontakan	반란의 역사
QUEST_20150317_000627	Saat Swordsman Ruklys selesai membangun fortress,  {nl}banyak orang yang kagum kepadanya dan mengikuti dia.	당대 최고의 검사 루클리스가 대지의 요새를 완공하자 그의 밑으로 그를 흠모하는 많은 이들이 몰려들었다.{nl}
QUEST_20150317_000628	Kekuatan mereka bertambah seiring dengan waktu  {nl}begitu pula dengan ambisi Ruklys yang terus meningkat.	그 세력은 점점 커져 급기야는 작은 도시국가의 모습을 띄었고 루클리스의 야망 또한 커지게 되었을 것이라 추측한다.{nl}
QUEST_20150317_000629	Karena kekuatan Ruklys yang terus bertambah hingga dia memberontak pada King Kadumel.	엄청나게 불어버린 루클리스의 세력은 결국 국왕 카듀멜에게 반란을 일으키게 되었다.{nl}
QUEST_20150317_000630	Itu adalah pemberontakan yang sangat besar, sebagian dari kota terlibat. {nl}Dan itu sempat dianggap perang sipil.	일반적인 반란과 달리 많은 세력과 도시 하나가 가담한 대규모의 사건이었기 때문에 내전이라고도 기록하는 역사가도 있었다.{nl}
QUEST_20150317_000631	Pemberontakan membuat Ruklys merasa menang, namun semua terbalik{nl}saat great Premier Eminent dan marksman Lydia Schaffen ikut bertempur.	반란은 처음엔 루클리스의 승리로 기울어지는 듯 했지만 위대한 재상으로 칭송받는 프리미어 에미넌트와 명사수로 불리는 리디아 샤펜이 참전하면서 그 양상은 바뀌게 되었다.{nl}
QUEST_20150317_000632	Setelah 2 tahun perang berakhir, saat Ruklys mati di tangan Lydia Schaffen.	결국 루클리스가 리디아 샤펜의 손에 사망하게 되면서 만 2년에 걸친 반란은 진압되었다.{nl}
QUEST_20150317_000633	Sebagai akibat dari kekejamannya, kota Ruklys dihapuskan dan menjadi terkutuk.  {nl}Hingga hari ini, semua yang ada di sana berubah menjadi batu.	극악무도한 루클리스를 따르던 이들의 도시는 이름이 지워진 채 영원한 저주를 받았다.{nl}현재까지도 유효한 그 저주는 모든 것을 돌로 만들어 버린다.
QUEST_20150317_000634	Sahabat Kami	우리의 친구
QUEST_20150317_000635	Kamu adalah companion ku yang lucu.  {nl}Punya gigi yang tajam, dan cakar yang tajam,  {nl}tapi aku tidak takut!  {nl}Karena kamu companion ku yang lucu!	너는 나의 귀여운 컴패니언{nl}무서운 이빨 날카로운 발톱{nl}하지만 두렵지 않아 {nl}너는 나의 귀여운 컴패니언{nl}
QUEST_20150317_000636	Kamu adalah teman baikku companion.  {nl}Dunia ini penuh monster,  {nl}tapi aku tidak takut.  {nl}Kamu adalah teman baikku companion.	너는 나의 든든한 친구 컴패니언{nl}세상에 몬스터가 득실거려도{nl}하지만 두렵지 않아{nl}너는 나의 든든한 친구 컴패니언
QUEST_20150317_000637	Klaipeda Statue of Goddess	클라페다의 여신상
QUEST_20150317_000638	Hanya Dievdirbys dan Modestas yang tahu akan identitas dari Statue of Goddess di Klaipeda Central Plaza.	클라페다의 중앙 광장에 있는 여신상이 누구를 기리는지는 그 여신상을 조각한 딥디르비와 내기꾼 모데스타스만이 알고 있다.{nl}
QUEST_20150317_000639	Banyak yang menantang Modestas dan dia tidak pernah kalah sampai dia mati.	많은 이들이 여신상이 누구인지 알기 위해 모데스타스에게 내기를 걸었지만 모데스타스가 죽을 때 까지 지는 일은 결코 없었다.
QUEST_20150317_000640	Guardian of Zachariel Mausoleum	자카리엘 왕릉의 수호자
QUEST_20150317_000641	Selain guardian yang menjaga Zachariel's Mausoleum,  {nl}ada juga patung-patung batu penjaga di Mausoleum.	자카리엘 왕릉을 대대로 모시는 수호자 가문 외에도 왕릉 내부를 지키는 석상들이 있다.{nl}
QUEST_20150317_000642	Aktif dengan energi mana,  {nl}guardian statue bergerak sama seperti saat dia hidup dan ada pula yang bisa berbicara.	왕릉을 흐르는 마나로 작동하는 이 수호자 석상들은 마치 살아있는 듯이 움직이며 어떤 석상은 대화도 가능하다고 한다.
QUEST_20150317_000643	Pendapat Maven	성자 메이번의 견해
QUEST_20150317_000644	Cara mudah untuk membedakan Cleric dan Wizard adalah cara mereka menggunakan berkat dari Goddess.  {nl}Cleric dan Wizard dapat mengubah berkat dari Goddess dalam wujud yang berbeda.	성직자와 마법사를 구분하는 가장 쉬운 방법은 여신의 은총을 어떤 방법으로 사용하느냐는 것이다.{nl}여신의 은총을 그대로 사용하는 성직자와 마법사는 사용하는 이의 의지에 따라 여러 모습으로 환원될 수 있다.{nl}
QUEST_20150317_000645	Dan kekuatan untuk mengubah berkat dari Goddess disebut Mana.	환원하는 힘을 어떤 특정한 단위로 규정할 때 그것을 마나라고 한다.
QUEST_20150317_000646	Goddess Gabija of Fire	불의 여신 가비야
QUEST_20150317_000647	Pyromancers menggunakan berkat dari Gabija, Goddess of Fire, sebagai kekuatan utama mereka.	파이로맨서는 불의 여신 가비야의 은총을 주력으로 사용한다.{nl}
QUEST_20150317_000648	Berbeda-beda tipe element, dan tergantung dari berkat Goddess Gabija,  {nl}tapi sebagian elemen tidak dapat teroksidasi.	산화는 대상이 되는 원소마다 차이가 있지만 가비야의 은총에 따라 그것을 무시하는 경우도 발생한다.{nl}
QUEST_20150317_000649	Untuk hal ini, kamu butuh pelatihan akademis standar dan juga kepercayaan pada Goddess Gabija.	이를 위해선 높은 학문적 성취에 불의 여신 가비야에 대한 신앙의지를 병행해야 할 것이다.
QUEST_20150317_000650	Keinginan Akan Segalanya	만물의 의지
QUEST_20150317_000651	Bentuk dasar dari semua wujud adalah Air, Tanah, Angin, dan Api,  {nl}dan semua ini dikendalikan oleh Goddess.	만물을 표현하는 가장 간단한 형태는 물, 땅, 바람, 불로써 이 근원물질은 여신의 권능으로 조절된다.
QUEST_20150317_000652	Dasar-dasar Sihir Elemen Api	쉽게 배우는 발화 마법
QUEST_20150317_000653	1. Area yang kering  {nl}2. Sesuatu yang bisa terbakar.  {nl}3. Mana yang cukup  {nl}4. Berkat dari Goddess Gabija.	1. 건조한 환경{nl}2. 탈 만한 물건이 존재.{nl}3. 일정 이상의 마나{nl}4. 가비야 여신의 은총
QUEST_20150317_000654	Diary dari Agailla Flurry	아가일라 플러리의 일기
QUEST_20150317_000655	Lord Helgasercle masih berlanjut setelah menghancurkan towerku,  {nl}tapi aku tidak dapat menemukan suksesor yang dapat melanjutkan tugasku.	군주 헬가 세르클은 여전히 나의 탑을 노리고 있건만 나의 사명을 넘겨받을 후계자는 찾을 수 없었다.{nl}
QUEST_20150317_000656	Aku merasa hidupku seperti api yang akan padam.  {nl}Jika seperti itu, Aku akan menyalakan titip api terakhir dalam hidupku untuk memanggilnya.	나의 생명은 이제 꺼져가는 불꽃이나 다름 없음을 느끼고 있다.{nl}그렇다면 나의 마지막 생명을 불태워 그 분을 불러보리라.{nl}
QUEST_20150317_000657	Karena Helgasercle, kekacauan besar terjadi di dunia ini.  {nl}Ada keputusasaan dan tantangan untuk meninggalkan tower kepada Goddess  yang seharusnya menjaga api  dunia.	그로 인해 분명 세상에 가져다 줄 혼란도 있을 것이다.{nl}세상의 불꽃을 관장해야 할 여신께 탑을 맞긴다는 것 자체가 무모한 도전일 수도 있다.{nl}
QUEST_20150317_000658	Tapi, tugas ini tidak boleh jatuh ke tangan para demon,  {nl}jadi aku berharap pada masa depan yang telah Goddess Laima ramalkan.	그러나 나의 사명이 절대로 마족의 손에 넘어가는 일은 있어선 아니될 일이기에 나는 라이마 여신께서 예지한 미래에 걸어보려 한다.{nl}
QUEST_20150317_000659	Itu adalah perjalanan yang cukup panjang.  {nl}Kita akan tahu apakah pilihan yang di ambil tepat atau tidak saat waktu mulai berjalan.	참으로 기나 긴 세월이었다. 그게 옳은 삶이자 선택이었는지는 먼 미래가 되어야 알 수 있으리라.
QUEST_20150317_000660	Diary dari Wizard Pemula, Jane	수습 마법사 제인의 일기
QUEST_20150317_000661	Aku datang ke ruangan Agailla Flurry untuk mengambil barang-barang yang harus dibersihkan,  {nl}dan aku melihat Flurry berbicara dengan seorang wanita yang mengeluarkan api yang besar.	아가일라 플러리님의 방에 놓고 온 청소도구를 다시 가질러 갔다가 플러리님께서 몸 주위에 엄청난 불꽃이 일렁이는 여자와 대화하시는것을 보았다.{nl}
QUEST_20150317_000662	Itu sangat menakutkan sehingga aku bersembunyi dibalik tembok untuk mengintip.  {nl}Tiba-tiba, ada demon yang menyeramkan.	왠지 분위기가 너무 무서워서 벽 뒤에서 몰래 지켜 보았다.{nl}갑자기, 무시무시한 마족이 들이닥쳤다.{nl}
QUEST_20150317_000663	Flurry… Dia menghilang menjadi abu setelah terkena cahaya yang menyilaukan.  {nl}Apakah demon itu itu melakukan sesuatu?  {nl}Aku tidak mengerti, meskipun aku seorang wizard pemula.	플러리님은.. 빛을 내뿜으시더니 한 줌의 재가 되셔서 사라지셨다.{nl}그 마족이이 무슨 짓이라도 한 걸까? {nl}수습 마법사인 난 알 도리가 없다.{nl}
QUEST_20150317_000664	Lalu, demon itu menghilang, meninggalkan wanita dengan api itu…  {nl}Tidak ada yang bisa aku lakukan, jadi aku lari dari tempat itu.	어쨌든 그 마족은 불꽃의 여자를 뒤로한 채 사라졌고.. 나 같은게 뭘 할수나 있을까 싶어서 나도 그 자리를 도망쳐 나왔다.{nl}
QUEST_20150317_000665	Setelah beberapa hari, orang bilang bahwa Gabija akan menjadi pemilik baru dari tower ini.  {nl}Orang lain didunia ini percaya bahwa Goddess telah menghilang, jadi mereka menyuruhku untuk diam.	며칠 뒤, 선배들은 가비야님께서 이 탑의 주인으로 계실 거라고 하셨다.{nl}그리고 세간엔 여신께서 사라진 걸로 되어 있을 것이라며 철저히 입단속도 당부받았다.{nl}
QUEST_20150317_000666	Apakah semua akan baik-baik saja?  {nl}Yaa… kata orang-orang sih begitu, mungkin semua akan baik-baik saja.	정말 괜찮은 걸까? {nl}뭐.. 선배들이 딱히 틀린 말은 한 적이 없으니 괜찮을 것이다.
QUEST_20150317_000667	Chronomancer Ron	시간 마법론 주석
QUEST_20150317_000668	Arch Mage Agailla Flurry, pemilik Mage Tower,  {nl}memberikan banyak kontribusi pada ilmu magic.	마법사의 탑의 주인인 대마법사 아가일라 플러리는 마법학에 무수한 기여를 하게 된다.{nl}
QUEST_20150317_000669	Dia belajar banyak spell dan bahkan dia membuat kategori skill baru.	그녀는 모든 계열의 모든 주문을 익히고 새로운 주문을 창안하였으며 심지어 새로운 계열을 창조하기도 한다.{nl}
QUEST_20150317_000670	Salah satunya yang paling menonjol adalah Chronomancy - sihir waktu.  {nl}Dengan itu, Agailla Flurry bisa hidup panjang.	그 중 대표적인 분야는 크로노맨서라는 시간 마법으로 이를 이용하여 아가일라 플러리는 오랜 수명을 누릴 수 있게 되었다.{nl}
QUEST_20150317_000671	Banyak orang dijaman dulu yang hidup cukup lama dibanding orang lain,  {nl}tapi Agailla Flurry adalah orang pertama yang hidup sangat lama sesuai dengan keinginannya.	그 이전에도 여신의 은총을 입고 인간의 수명 이상을 누린 이는 있었으나 아가일라 플러리는 인간의 의지로 장수한 첫 번째 사례로 기록될 것이다.
QUEST_20150317_000672	Silsilah Magic	마법의 계보
QUEST_20150317_000673	Pada awalnya, Magic dimulai dari penggunaan mana {nl}dan element dasar.	초기 마법은 마나 그 자체를 연구하거나 기초 원소로 환원하는 것에서 시작하였다.{nl}
QUEST_20150317_000674	Setelah itu, dasar pembelajarannya, kepercayaan pada Goddess ,  {nl}dan sedikit ilmu matematika untuk pengembangannya.	그 후 선천적인 자각이나 여신의 신앙, 수학적 접근이 가미되어 마법학은 새로운 확장을 꾀하기 시작했다.{nl}
