QUEST_LV_0200_20150317_000001	Philip's Soldiers	필리파스 직속 부대원
QUEST_LV_0200_20150317_002081	Kumpulkan leaves od Ridimedi	리디메디의 잎사귀 수집
QUEST_LV_0200_20150317_002082	Saod owl berkata bahwa Throneweavers tetap berusaha untuk menghancurkan owl. Pancing Throneweaver dan dapatkan leave dari Ridimedis.	슬픈 부엉이는 쓰론위버가 자꾸 부엉이들을 부수려 든다고 합니다. 쓰론위버를 유인해서 잡기 위해 리디메드에게서 잎사귀를 구해 옵시다.
QUEST_LV_0200_20150317_002083	Kamu telah mengumpulkan cukup leaves of Ridimedis yang weaver suka. Kembali ke sad owl.	위버가 좋아하는 리디메드의 잎사귀를 이정도면 넉넉히 모은 것 같습니다. 슬픈 부엉이에게 다시 돌아가 봅시다.
QUEST_LV_0200_20150317_002084	Leaves of Ridimedis	리디메드의 잎사귀
QUEST_LV_0200_20150317_002085	Kamu telah mengumpulkan cukup leaves of Ridimedis yang weaver suka. Kembali ke sad owl.	위버들이 좋아하는 리디메디의 잎사귀를 넉넉히 모았습니다. 슬픈 부엉이와 다시 대화해 보세요.
QUEST_LV_0200_20150317_002086	Mendapatkan roots of Sakmolis	사크몰리의 다리뿌리 획득
QUEST_LV_0200_20150317_002087	Sad owl menyarankanmu untuk menggunakan roots of Sakmolis untuk memancing Throneweaver. Kumpulkan roots of Sakmolis.	슬픈 부엉이는 쓰론위버까지 유인해 내려면 사크몰리의 다리뿌리도 이용하는 것이 좋겠다고 제안했습니다. 사크몰리의 다리뿌리를 모아오도록 하세요.
QUEST_LV_0200_20150317_002088	Kamu telah mendapatkan roots of Sakmolis. Bicara dengan sad owl dan apa yang harus dilakukan selanjutnya.	사크몰리의 다리뿌리를 구했습니다. 이제 어떻게 할지 슬픈 부엉이와 논의해 봅시다.
QUEST_LV_0200_20150317_002089	Roots of Sakmolis	사크몰리의 다리뿌리
QUEST_LV_0200_20150317_002090	Bicara dengan embarassed owl sculpture	부끄러운 부엉이 조각상과 대화
QUEST_LV_0200_20150317_002091	Ada banyak owl sculpture yang membimbing spirits di Katyn Forest. Dengarkan cerita embarassed owl sculpture.	카틴 숲에는 영혼을 인도하는 부엉이 조각상들이 있습니다. 부끄러운 부엉이 조각상의 이야기를 들어보세요.
QUEST_LV_0200_20150317_002092	Selamatkan spirit of the restrained soldier	속박당한 병사 영혼 구출
QUEST_LV_0200_20150317_002093	Embarassed owl mengatakan padamu bahwa spirit yang terpancing ke arahmu bukanlah datang dari suatu hari di masa lalu. Temukan apa yang terjadi pada spirit dan lakukan sesuatu untuk membuat mereka bergerak lagi.	부끄러운 부엉이는 자신에게 인도되던 영혼들이 언제부턴가 오지 않고 있다고 합니다. 영혼들에게 무슨 일이 생겼는지 알아 본 뒤 움직일 수 있도록 해결해 봅시다.
QUEST_LV_0200_20150317_002094	Spirit terikat di batang pohon. Dengan melepaskan para spirit dari ikatan, akankah membuatmu menemukan asal dari energi negatif? Bicara pada embarrassed owl lagi.	영혼들은 나무 줄기에 묶여 있었습니다. 영혼들을 속박에서 풀려나게 해 준걸로 사악한 근원의 위치를 알 수 있을까요? 부끄러운 부엉이와 다시 대화해 봅시다.
QUEST_LV_0200_20150317_002095	Bicara dengan sorrowful owl sculpture	애절한 부엉이 조각상과 대화
QUEST_LV_0200_20150317_002096	Mereka bukan hanya spirit yang terikat antara spirt yang bergentayangan. Dengarkan cerita detailnya dari sorrowful owl.	떠도는 영혼은 속박당한 영혼만 있는 게 아닌 것 같습니다. 애절한 부엉이에게 자세한 이야기를 들어 보세요.
QUEST_LV_0200_20150317_002097	Ajak spirit yang kehilangan arah	길 잃은 영혼을 설득
QUEST_LV_0200_20150317_002098	Sorrowful owl mengatakan bahwa spirit yang pergi menuju statue of Goddess  untuk ketenangan menyiksa diri mereka jadi pasti ada yang salah. Ajak spirit yang mencoba pergi ke statue of Goddess  dan bawa mereka ke sorrowful owl.	애절한 부엉이는 안식을 위해 여신상으로 간 영혼들이 괴로워하고 있다며 뭔가가 잘못 돌아가고 있다고 합니다. 여신상으로 가려는 영혼을 설득하여 애절한 부엉이에게 데려다 주세요.
QUEST_LV_0200_20150317_002099	Sorrowful owl mendengar cerita tentang apa yang terjadi pada spirit. Kembali ke sorrowful owl dan tanya apa yang terjadi.	애절한 부엉이가 영혼들에게 무슨 일이 벌어지고 있는지 충분한 이야기를 들은 것 같습니다. 애절한 부엉이에게 다시 돌아가 무슨 일인지 물어 봅시다.
QUEST_LV_0200_20150317_002100	Sorrowful owl bicara dengan spirit. Bicara kepada sorrowful owl lagi.	애절한 부엉이는 영혼들과 충분히 대화를 나눴다고 합니다. 애절한 부엉이와 다시 대화해 보세요.
QUEST_LV_0200_20150317_002101	Cari tahu apa yang terjadi di Amolallul Hills.	아몰라룰 언덕에서 진상 확인
QUEST_LV_0200_20150317_002102	Spirit merasa statue of Goddess  di Amolallul Hills memanggil mereka, sorrowful owl memberitahumu bahwa statue tidak ada di sana. Pergi ke Amollalul Hills untuk menemukan apa yang sebenarnya terjadi.	영혼들은 아몰라룰 언덕 위에 있는 여신상이 자신들을 불렀다고 하지만 애절한 부엉이는 그곳엔 여신상이 없다고 합니다. 아몰라룰 언덕으로 가서 진상을 확인해 보세요.
QUEST_LV_0200_20150317_002103	Corrupted berada di statue of Goddess . Iblis memanggil dirinya sebagai Goddess  tak boleh terjadi. Kembali ke sorrowful owl dan beritahu fakta ini.	여신상에는 코럽티드가 기생하고 있었습니다. 마족이 여신을 사칭하는 건 절대로 있을 수 없는 일 입니다. 애절한 부엉이에게 돌아가서 이 사실을 알려 주세요.
QUEST_LV_0200_20150317_002104	Kalahkan gray Golem yang tetiba muncul	갑자기 나타난  회색 골렘 처치
QUEST_LV_0200_20150317_002105	Maju kalahkan gray Golem yang tetiba muncul	갑자기 나타난  회색 골렘을 처치하여 나아갑시다.
QUEST_LV_0200_20150317_002106	Setelah kamu menyentuh unknown monster, gray Golem tetiba muncul!	알 수 없는 몬스터를 건드렸더니 갑자기 회색 골렘이 나타났습니다!
QUEST_LV_0200_20150317_002107	Kalahkan gray Golem yang tetiba muncul	갑자기 나타난 회색 골렘 처치
QUEST_LV_0200_20150317_002108	Bicara pada spirit of the commander	장교의 영혼과 대화
QUEST_LV_0200_20150317_002109	Spirit of soldier yang tidak terpilih untuk menerima berkah dan spirit seperti commander tidak tahu harus apa. Bicara pada mereka.	구원받지 못한 병사 영혼들과 장교로 보이는 영혼이 난처해하는 것 같습니다. 이들에게 말을 걸어 보세요.
QUEST_LV_0200_20150317_002110	Kumpulkan hard tree legs of Bushspider	크루마보의 단단한 나무다리 수집
QUEST_LV_0200_20150317_002111	Spirit of commander berkata bahwa ia akan membalaskan dendam pada monster yang membunuhnya dan memintamu bawakan hard tree legs dari Bushspiders.	장교의 영혼은 자신들을 죽인 몬스터에게 복수를 하겠다면서 크루마보에게서 단단한 나무다리를 구해 오라고 합니다.
QUEST_LV_0200_20150317_002112	Sepertinya kamu telah mengumpulkan semua hard tree legs yang spirit of commander minta. Kembali ke commander.	장교의 영혼이 원하는 단단한 나무다리를 전부 수집한 것 같습니다. 장교에게 돌아가 봅시다.
QUEST_LV_0200_20150317_002113	Kumpulkan %s dari Bushspiders	크루마보의 %s 수집
QUEST_LV_0200_20150317_002114	Sepertinya sesuatu masih ada yang kurang kecuali tree leg. Bicara pada spirit of commander.	나무 다리만으로는 뭔가 부족한 것 같습니다. 장교의 영혼과 대화해 보세요.
QUEST_LV_0200_20150317_002115	Kumpulkan shell yang membuat suara gemerisik	부스럭거리는 껍질 수집
QUEST_LV_0200_20150317_002116	Spirit of commander mencoba untuk terlihat seperti manusia dengan mengikatkan tali di pohon. Kumpulkan shell yang membuat suara gemerisik dari old Kepas.	장교의 영혼은 나무기둥을 엮어 그럴듯한 사람 모습으로 꾸미려고 하는 것 같습니다. 늙은 케파로부터 부스럭거리는 껍질를 모아 옵시다.
QUEST_LV_0200_20150317_002117	Kamu telah mengumpulkan cukup shells. Kembali ke spirit of commander.	장교의 영혼이 필요로 하는 부스럭거리는 껍질을 충분히 모은 것 같습니다. 장교의 영혼에게로 되돌아 가세요.
QUEST_LV_0200_20150317_002118	Kumpulkan %s dari Old Kepas	늙은 케파의 %s 수집
QUEST_LV_0200_20150317_002119	Mendapatkan rustling shells	부스럭거리는 껍질 획득
QUEST_LV_0200_20150317_002120	Sepertinya kamu telah mengumpulkan cukup bahan untuk membuat umpan. Bicara pada spirit of commander.	이정도면 미끼를 만들 재료가 얼추 모인 것 같습니다. 장교의 영혼과 대화해 보세요.
QUEST_LV_0200_20150317_002121	Eksperimen pada umpan untuk iblis	마족 미끼 실험
QUEST_LV_0200_20150317_002122	Kamu telah selesai membuat umpan untuk iblis, tapi spirit of commander seperti tidak bisa percaya. Gunakan umpan pada monster untuk melihat apakah ini bekerja.	마족을 위한 미끼가 완성되었지만 장교의 영혼은 내가 못미더워하는 눈치입니다. 미끼가 제대로 된 물건인지 몬스터에게 사용해 봅시다.
QUEST_LV_0200_20150317_002123	Untungnya, bait bekerja dengan baik pada monster. Kembali ke spirit of commander.	다행히 몬스터들이 미끼에게 잘 속아 넘어가는 것 같습니다. 장교의 영혼에게 다시 돌아가세요.
QUEST_LV_0200_20150317_002124	Umpan bekerja dengan baik. Bicara pada commander apa yang akan dilakukan selanjutnya.	다행히도 미끼는 잘 만들어 졌습니다. 이제 뭘 하면 좋을 지 장교와 다시 대화해 보세요.
QUEST_LV_0200_20150317_002125	Kumpulkan leave of Elloms	엘룸의 잎사귀 수집
QUEST_LV_0200_20150317_002126	Untuk membuat umpan yang lebih baik, spirit menyarankan kamu mengikat leave bersamaan seperti rambut. Kumpulkan leave of Elloms seperti yang disarankan spirit.	장교의 영혼은 좀 더 완벽한 미끼로 만들기 위해 엘룸의 잎사귀를 머리처럼 엮어 얹어 보자고 제안합니다. 엘룸의 잎사귀를 모아 옵시다.
QUEST_LV_0200_20150317_002127	Kamu telah mengumpulkan cukup leave of Elloms yang akan digunakan sebagai rambut untuk bait. Kembali ke spirit of commander.	미끼의 머리로 쓸 엘룸의 잎사귀를 충분히 모은 것 같습니다. 장교의 영혼에게로 돌아가 봅시다.
QUEST_LV_0200_20150317_002128	Mendapatkan %s dengan mengalahkan Elloms	엘룸을 처치해 %s 수집
QUEST_LV_0200_20150317_002129	Dedaunan Elloms	엘룸의 잎사귀
QUEST_LV_0200_20150317_002130	Spirit mengatakan bahwa ia akan pergi ke intersection yang muncul sebelum Grobis empty lot. Pergi ke sana dan bicara pada spirit.	장교의 영혼은 그로비스 공터 가기 전의 갈림길로 먼저 가겠다고 합니다. 그곳으로 가서 장교의 영혼과 대화해 보세요.
QUEST_LV_0200_20150317_002131	Selesaikan misi terakhir menggunakan bait di Grobis Intersections	그로비스 사거리에서 미끼를 사용하여 마지막 임무 완수
QUEST_LV_0200_20150317_002132	Ini akan menjadi misi terakhir. Kalahkan iblis yang membunuh commander dan prajurit menggunakan bait.	마지막 임무입니다. 미끼를 사용해서 장교의 영혼과 그의 병사를 해친 마족들을 처치하세요.
QUEST_LV_0200_20150317_002133	Kamu telah mengalahkan monster menggunakan bait. Bicara pada spirit lagi.	미끼를 사용해서 몬스터를 처치했습니다. 장교의 영혼에게 가서 대화하세요.
QUEST_LV_0200_20150317_002134	Kalahkan 10 monster dalam waktu 1 menit 30 detik	1분 30초동안 몬스터 10마리 처치
QUEST_LV_0200_20150317_002135	Bicara pada Scout	정찰병들과 대화
QUEST_LV_0200_20150317_002136	Sepertinya Scout memiliki pendapat berbeda tentang Deadbones. Bicara pada Scout lagi.	정찰병들이 데드본에 대해 의견이 맞지 않는 것 같습니다. 정찰병과 대화해 보세요.
QUEST_LV_0200_20150317_002137	Kalahkan Deadbone	데드본 처치
QUEST_LV_0200_20150317_002138	Deadbone tetiba menyerang. Kalahkan Deadbones.	데드본이 갑자기 습격해왔습니다. 데드본을 처치하세요.
QUEST_LV_0200_20150317_002139	Commander Danews tidak tahu apa yang harus dilakukan. Bicara padanya.	장교 다뉴스는 안전부절 못하고 있습니다. 장교 다뉴스와 대화해 보세요.
QUEST_LV_0200_20150317_002140	Cari scout of Danews	다뉴스의 정찰병 찾기
QUEST_LV_0200_20150317_002141	Commander Danews memberitahukan bahwa scout yang dikirim untuk mencari tahu apa yang terjadi di sekitar sini menghilang. Cari scout yang pergi ke crossroad.	장교 다뉴스는 주변 상황을 알아보기 위해 보낸 정찰병들이 전부 소식이 끊겼다고 합니다. 삼거리 윗쪽으로 떠난 정찰병을 찾아 보세요.
QUEST_LV_0200_20150317_002142	Bicara pada scout od Danews	다뉴스의 정찰병과 대화
QUEST_LV_0200_20150317_002143	Sepertinya kamu telah menemukan salah satu scout yang hilang. Bicara pada scout.	사라진 정찰병 중 한 명을 찾은 것 같습니다. 정찰병과 대화해 보세요.
QUEST_LV_0200_20150317_002144	Kalahkan monster yang berusaha masuk.	덤벼드는 몬스터를 처치
QUEST_LV_0200_20150317_002145	Scout berkata monster akan menyerang. Kalahkan monster yang berusaha masuk.	정찰병은 곧 몬스터가 기습해 올 거라고 합니다. 덤벼드는 몬스터를 처치하세요.
QUEST_LV_0200_20150317_002146	Kamu telah mengalahkan monster yang berusaha masuk. Bicara pada scout lagi.	덤벼드는 몬스터를 전부 처치했습니다. 정찰병과 다시 대화해 보세요.
QUEST_LV_0200_20150317_002147	Kalahkan Bites	바이트 처치
QUEST_LV_0200_20150317_002148	Commander Danews sepertinya menunggu seseorang. Bicara pada commander Danews lagi.	장교 다뉴스는 누군가를 기다리고 있는 것 같습니다. 장교 다뉴스와 대화해 보세요.
QUEST_LV_0200_20150317_002149	Cari supply officer	보급관 찾기
QUEST_LV_0200_20150317_002150	Commander Danews mencari supply army. Di lower side basecamp squad belakang, cari supply officer dan bicara padanya.	장교 다뉴스는 보급부대를 애타게 찾고 있었습니다. 후방부대 주둔지의 아랫쪽에서 올 보급부대의 보급관을 찾아 대화해 보세요.
QUEST_LV_0200_20150317_002151	Bicara pada supply officer	보급관과 대화
QUEST_LV_0200_20150317_002152	Kamu telah menemukan supply squad. Bicara pada supply officer lagi.	보급부대를 찾았습니다. 보급관과 다시 대화해 보세요.
QUEST_LV_0200_20150317_002153	Mendapatkan supply	보급품 회수
QUEST_LV_0200_20150317_002154	Supply officer memberitahumu bahwa prajurit kelelahan jadi memintamu untuk mendapatkan supply untuk mereka. Dapatkan suppy yang tersebar di sekitar.	보급관은 병사들이 지쳤다면서 보급품을 대신 회수해 달라고 합니다. 주변에 흩어진 보급품들을 회수해 주세요.
QUEST_LV_0200_20150317_002155	Berikan kepada supply officer	보급관에게 전달
QUEST_LV_0200_20150317_002156	Kamu telah mendapatkan semua supply yang tersebar. Berikan pada supply officer.	흩어진 보급품들을 모두 회수했습니다. 보급관에게 가져다 주세요.
QUEST_LV_0200_20150317_002157	Karena kamu telah mendapatkan semua supply, bicara pada supply officer jadi supply squad bisa bersatu dengan rear squad.	보급품을 회수했으니 보급부대가 빨리 후방부대와 합류하도록 보급관과 다시 대화해 보세요.
QUEST_LV_0200_20150317_002158	Berikan supply pada commander Danews	장교 다뉴스에게 보급품 전달
QUEST_LV_0200_20150317_002159	Supply officer memberitahumu bahwa prajurit kelelahan, akan sulit untuk supply squad untuk bergerak jadi ketika kamu menyerahkan supply, komplain dari rear squad akan dikurangi. Berikan supply pada commander Danews demi supply squad.	보급관은 병사들이 지쳤으니 보급부대가 당장 움직이는 것은 힘드니 일단 보급품을 전해 준다면 후방부대의 불만은 줄어들 것이라고 합니다. 장교 다뉴스에게 보급부대를 대신해서 보급품을 전해 주세요.
