ETC_20150317_000001	Kepa	케파
ETC_20150317_006839	Fire Wizard Tower 45	불 마법사의 탑 45
ETC_20150317_006840	Pilgrims of the road 46	순례자의 길 46
ETC_20150317_006841	Pilgrims of the road 47	순례자의 길 47
ETC_20150317_006842	Pilgrims of the road 50	순례자의 길 50
ETC_20150317_006843	Pilgrims of the road 51	순례자의 길 51
ETC_20150317_006844	Pilgrims of the road 52	순례자의 길 52
ETC_20150317_006845	Cathedral 53	대성당 53
ETC_20150317_006846	Cathedral 54	대성당 54
ETC_20150317_006847	Pilgrims of the road 55	순례자의 길 55
ETC_20150317_006848	Cathedral 56	대성당 56
ETC_20150317_006849	Please enter 123	123을 입력하세요
ETC_20150317_006850	Please enter abc	abc를 입력하세요
ETC_20150317_006851	Iron Ore	철광석
ETC_20150317_006852	Recipe - Gladius	제작서-글라디우스
ETC_20150317_006853	Earth tower Hidden trigger monster	대지의 탑 히든 트리거 몬스터
ETC_20150317_006854	Tower Hidden trigger of the earth	대지의 탑 히든트리거
ETC_20150317_006855	Earth Tower Stone Whale	대지의 탑 석화고래
ETC_20150317_006856	Earth Tower boss	대지의 탑 보스
ETC_20150317_006857	Earth Tower Chapparition	대지의 탑 채퍼리션
ETC_20150317_006858	Earth Tower Tomblord	대지의 탑 툼로드
ETC_20150317_006859	Earth Tower mine loader	대지의 탑 마인로더
ETC_20150317_006860	Earth Tower Kelberos	대지의 탑 켈베로스
ETC_20150317_006861	Earth Tower Vubbe Miner	대지의 탑 부베 광부
ETC_20150317_006862	Earth Tower monster	대지의 탑 몬스터
ETC_20150317_006863	Earth Tower Bat	대지의 탑 박쥐
ETC_20150317_006864	Earth Tower Shredded	대지의 탑 쉬레디드
ETC_20150317_006865	Earth Tower Stone Orca	대지의 탑 스톤오르카
ETC_20150317_006866	Earth Tower Yekubite	대지의 탑 에큐바이트
ETC_20150317_006867	Earth Tower Vubbe Archer	대지의 탑 부베 궁수
ETC_20150317_006868	Earth Tower Vubbe Wizard	대지의 탑 부베 마법사
ETC_20150317_006869	Earth Tower Vubbe Warrior	대지의 탑 부베 전사
ETC_20150317_006870	Earth Tower Vubbe Chaser	대지의 탑 부베 추격꾼
ETC_20150317_006871	Earth Tower Vubbe Fire Wizard	대지의 탑 부베 화염 마법사
ETC_20150317_006872	Earth Tower Vubbe Ice Wizard	대지의 탑 부베 얼음 마법사
ETC_20150317_006873	Earth Tower Yognome	대지의 탑 요노움
ETC_20150317_006874	Earth Tower Desmodus	대지의 탑 데스모두스
ETC_20150317_006875	Earth Tower Rodelin	대지의 탑 로델린
ETC_20150317_006876	Earth Tower Egnome	대지의 탑 이노움
ETC_20150317_006877	Earth Tower Corylus	대지의 탑 코릴러스
ETC_20150317_006878	Earth Tower Apparition	대지의 탑 초록 어패리션
ETC_20150317_006879	Earth Tower Pawnd	대지의 탑 폰드
ETC_20150317_006880	Earth Tower Pawndel	대지의 탑 폰델
ETC_20150317_006881	Earth Tower Fallenlem	대지의 탑 플른렘
ETC_20150317_006882	Earth Tower Galok	대지의 탑 갈록
ETC_20150317_006883	Earth Tower Varv	대지의 탑 바브
ETC_20150317_006884	Earth Tower Boowook	대지의 탑 부우크
ETC_20150317_006885	Earth Tower Hogma Fighter	대지의 탑 호그마 전사
ETC_20150317_006886	Earth Tower Zinutekas	대지의 탑 지누테카스
ETC_20150317_006887	Earth Tower Vesper	대지의 탑 베스퍼
ETC_20150317_006888	Earth Tower Vikaras	대지의 탑 비카라스
ETC_20150317_006889	Earth Tower Tombsinker	대지의 탑 툼싱커
ETC_20150317_006890	Earth Tower Echad	대지의 탑 에하드
ETC_20150317_006891	Earth Tower Vekarabe	대지의 탑 베카라베
ETC_20150317_006892	Earth Tower Shtayim	대지의 탑 쉬타임
ETC_20150317_006893	Earth Tower Karas	대지의 탑 카라스
ETC_20150317_006894	Earth Tower Bikaras Mage	대지의 탑 비카라스 메이지
ETC_20150317_006895	Earth Tower Polluted Bikaras Mage	대지의 탑 오염된 비카라스 메이지
ETC_20150317_006896	Earth Tower Venucelos	대지의 탑 베누켈로스
ETC_20150317_006897	Earth Tower Wheelen	대지의 탑 휠렌
ETC_20150317_006898	Earth Tower Medakia	대지의 탑 메다키아
ETC_20150317_006899	Earth Tower Rusrat	대지의 탑 러스라트
ETC_20150317_006900	Earth Tower Mauros	대지의 탑 마우로스
ETC_20150317_006901	Earth Tower Rubblem	대지의 탑 러블렘
ETC_20150317_006902	Earth Tower Drake	대지의 탑 드레이크
ETC_20150317_006903	Earth Tower Phyracon	대지의 탑 피라콘
ETC_20150317_006904	Earth Tower Shaman Doll	대지의 탑 주술 인형
ETC_20150317_006905	Earth Tower Large Slime	대지의 탑 대형 슬라임
ETC_20150317_006906	Earth Tower Blindlem	대지의 탑 블라인들렘
ETC_20150317_006907	Earth Tower Belegg	대지의 탑 벨레그
ETC_20150317_006908	Earth Tower Red Infrorocktor	대지의 탑 붉은 인프로락터
ETC_20150317_006909	Earth Tower Chromadog	대지의 탑 크로마독
ETC_20150317_006910	Earth Tower Arma	대지의 탑 아르마
ETC_20150317_006911	Earth Tower Black Desmodus	대지의 탑 검은 데스모두스
ETC_20150317_006912	Earth Tower Minivern	대지의 탑 미니번
ETC_20150317_006913	Earth Tower Wizard Shaman Doll	대지의 탑 위저드 주술 인형
ETC_20150317_006914	Earth Tower Flask	대지의 탑 플라스크
ETC_20150317_006915	Earth Tower Black Drake	대지의 탑 검은 드레이크
ETC_20150317_006916	Earth Tower Dimmer	대지의 탑 디머
ETC_20150317_006917	Earth Tower Black Shaman Oll	대지의 탑 검은 주술 인형
ETC_20150317_006918	Item Merchant Emilia	도구상인 에밀리아
ETC_20150317_006919	Item Merchant	도구상인
ETC_20150317_006920	Eastern Woods Scout	동쪽 숲 정찰병
ETC_20150317_006921	Head of Guard Troop	경계 조장
ETC_20150317_006922	Western Woods Scout	서쪽 숲 정찰병
ETC_20150317_006923	Village Woman	마을 여자
ETC_20150317_006924	Female Officer	여자 장교
ETC_20150317_006925	Fallen Soldier	쓰러진 병사
ETC_20150317_006926	Crux Knights Officer(male)	남십자 기사단 장교남
ETC_20150317_006927	Crux Knights Officer	남십자 기사단 장교
ETC_20150317_006928	Crux Knights Officer(female)	남십자 기사단 장교녀
ETC_20150317_006929	Head of Militia Laudrop	민병대장 라우드룹
ETC_20150317_006930	Holger Danske	홀게르 단스케
ETC_20150317_006931	Innkeeper Zenora	여관주인 제노라
ETC_20150317_006932	Weapon Merchant Achalabeth	무기상인 아칼라베스
ETC_20150317_006933	Weapon Merchant	무기상인
ETC_20150317_006934	Enhanced Knight Felik	강화기사 펠릭
ETC_20150317_006935	Armor Merchant Alphonso	방어구상인 알폰소
ETC_20150317_006936	Armor Merchant	방어구상인
ETC_20150317_006937	Balemar	발데마르
ETC_20150317_006938	Kingdom's Minister of Finance Hipolytus	왕국 재무상 힙폴리투스
ETC_20150317_006939	Crimhilt	크림힐트
ETC_20150317_006940	Anastasia	아나스타샤
ETC_20150317_006941	Roskile Mayor Dioskorus	로스킬레 시장 디오스코루스
ETC_20150317_006942	Kawai Girl and Bear	카와EE소녀와곰
ETC_20150317_006943	Kawai Girl and Bear(none)	카와EE소녀곰없음
ETC_20150317_006944	Mercenary Guild Staff Girl	용병 길드 직원녀
ETC_20150317_006945	Cesare	체자레
ETC_20150317_006946	Glovess	글로베스
ETC_20150317_006947	Ojars Rubenis	오야르스 루베니스
ETC_20150317_006948	Bourgeois Man	부르주아 남자
ETC_20150317_006949	Auntie	아줌마
ETC_20150317_006950	Vanessa	바네사
ETC_20150317_006951	Village Costume Man	마을 코스튬 남자
ETC_20150317_006952	Village Costume Woman	마을 코스튬 여자
ETC_20150317_006953	Merchant 2 Sit	상인2 앉기
ETC_20150317_006954	Merchant 1	상인1
ETC_20150317_006955	Merchant 2	상인2
ETC_20150317_006956	Mid Commander(male)	중급 관리 장교녀
ETC_20150317_006957	Mid Commander(Female)	중급 관리 장교남
ETC_20150317_006958	Minor Commander	하급 관리 장교
ETC_20150317_006959	Veteran Miner	베테랑 광부
ETC_20150317_006960	Mining Town Alchemist	광산 마을 연금술사
ETC_20150317_006961	Equipment Merchant	장비상인
ETC_20150317_006962	Old Lady	중년 부인
ETC_20150317_006963	Village Old Lady	마을 중년부인
ETC_20150317_006964	Gentleman 1	마을 아저씨1
ETC_20150317_006965	Gentleman 2	마을 아저씨2
ETC_20150317_006966	Liaison Offical(Dibutuhkan Pertukaran data)	연락관(데이터 교체 필요)
ETC_20150317_006967	Recorder(Dibutuhkan Pertukaran data)	기록관(데이터 교체 필요)
ETC_20150317_006968	Historian 1(Dibutuhkan Pertukaran data)	사학자 1(데이터 교체 필요)
ETC_20150317_006969	Historian 2(Dibutuhkan Pertukaran data)	사학자 2(데이터 교체 필요)
ETC_20150317_006970	Rexipher human(Dibutuhkan Pertukaran data)	렉시퍼 인간(데이터 교체 필요)
ETC_20150317_006971	Woman Historian(Dibutuhkan Pertukaran data)	여 사학자(데이터 교체 필요)
ETC_20150317_006972	Mid Commander(male2)	중급 관리 장교남2
ETC_20150317_006973	Minor Commander 2	하급 관리 장교 2
ETC_20150317_006974	Minor Commander 3	하급 관리 장교 3
ETC_20150317_006975	Vacenin	바세닌
ETC_20150317_006976	Bokor disciples (man 1)	보코르 제자(남1)
ETC_20150317_006977	Bokor disciples (man 2)	보코르 제자(남2)
ETC_20150317_006978	Bokor disciples (woman)	보코르 제자(여)
ETC_20150317_006979	2D Hunter Master	2D 헌터 마스터
ETC_20150317_006980	Bokor Mama	보코르 마마
ETC_20150317_006981	Gentleman 3	마을 아저씨3
ETC_20150317_006982	Gentleman 4	마을 아저씨4
ETC_20150317_006983	Auctioneer	경매인
ETC_20150317_006984	Minor Commander 4	하급 관리 장교 4
ETC_20150317_006985	Minor Commander 5	하급 관리 장교 5
ETC_20150317_006986	Minor Commander 6	하급 관리 장교 6
ETC_20150317_006987	Minor Commander 7	하급 관리 장교 7
ETC_20150317_006988	Old Lady 2	중년 부인2
ETC_20150317_006989	Old Lady 3	중년 부인3
ETC_20150317_006990	Old Lady 4	중년 부인4
ETC_20150317_006991	Old Lady 5	중년 부인5
ETC_20150317_006992	Old Lady 6	중년 부인6
ETC_20150317_006993	Veteran Miner 2	베테랑 광부2
ETC_20150317_006994	Gentleman 5	마을 아저씨5
ETC_20150317_006995	Gentleman 6	마을 아저씨6
ETC_20150317_006996	Gentleman 7	마을 아저씨7
ETC_20150317_006997	Gentleman 8	마을 아저씨8
ETC_20150317_006998	Gentleman 9	마을 아저씨9
ETC_20150317_006999	Gentleman 10	마을 아저씨10
ETC_20150317_007000	Gentleman 11	마을 아저씨11
ETC_20150317_007001	Gentleman 12	마을 아저씨12
ETC_20150317_007002	Auctioneer Helper	경매인 도우미
ETC_20150317_007003	Logging Soldier	벌목하는 병사
ETC_20150317_007004	City Middle-aged Woman	도시 중년 부인
ETC_20150317_007005	City Blacksmith	도시 대장장이
ETC_20150317_007006	City Equipment Merchant	도시 장비상인
ETC_20150317_007007	City Tools Merchant	도시 도구상인
ETC_20150317_007008	City Middle-aged Man	도시 노인
ETC_20150317_007009	Tools Merchant 1	도구상인1
ETC_20150317_007010	Hunter Master (memerlukan pertukaran data)	헌터 마스터(데이터 교체 필요)
ETC_20150317_007011	Desk	책상
ETC_20150317_007012	Stone rolling	돌굴러가유
ETC_20150317_007013	Menyembunyikan Monster Box	은신 몬스터의 상자
ETC_20150317_007014	Grating	쇠창살
ETC_20150317_007015	Grating (prison)	쇠창살(감옥)
ETC_20150317_007016	Enchant Raid Entrance	인챈트 레이드 입구
ETC_20150317_007017	Enchant Symbol	인챈트 상징물
ETC_20150317_007018	Holy Place of Record	기록의 성소
ETC_20150317_007019	Holy Place of Recover	회복의 성소
ETC_20150317_007020	Item Combiner	아이템 조합기
ETC_20150317_007021	Grill	그릴
ETC_20150317_007022	Guard Fence	가드 펜스
ETC_20150317_007023	Carriage	마차
ETC_20150317_007024	Bulletin Board	게시판
ETC_20150317_007025	Lever 1	레버1
ETC_20150317_007026	Lever 2	레버2
ETC_20150317_007027	Gabija's Torch	가비야의 횃불
ETC_20150317_007028	Writing Table	서대
ETC_20150317_007029	Goddess Laima Statue	여신 라이마의 상
ETC_20150317_007030	Goddess Zemyna Statue	여신 제미나의 상
ETC_20150317_007031	Goddess Ausrine Statue	여신 아우슈리네의 상
ETC_20150317_007032	Stack of Kepa	케파더미
ETC_20150317_007033	Casemate	포대
ETC_20150317_007034	Siege Supporting Arms	공성지원병
ETC_20150317_007035	Statue	석상
ETC_20150317_007036	Puddle Trap	물웅덩이 함정
ETC_20150317_007037	Handle Bar	핸들 바
ETC_20150317_007038	Thorn Trap	가시 함정
ETC_20150317_007039	Rockfall Trap	낙석 함정
ETC_20150317_007040	Gold Candle	금촛대
ETC_20150317_007041	Silver Candle	은촛대
ETC_20150317_007042	Sunfish	개복치
ETC_20150317_007043	Stack of Spray	스프레이 더미
ETC_20150317_007044	Test Wall 100	벽체테스트 100
ETC_20150317_007045	Test Wall 120	벽체테스트 120
ETC_20150317_007046	Test Wall 140	벽체테스트 140
ETC_20150317_007047	Test Wall 160	벽체테스트 160
ETC_20150317_007048	Kepa Wagon	케파수레
ETC_20150317_007049	Start Point of Golem	골렘 시작지
ETC_20150317_007050	Empty Wagon	빈수레
ETC_20150317_007051	Supplies Wagon	보급품 수레
ETC_20150317_007052	Holy Ark	성궤
ETC_20150317_007053	Altar	제단
ETC_20150317_007054	Red Crystal	붉은색 크리스탈
ETC_20150317_007055	Orange Crystal	주황색 크리스탈
ETC_20150317_007056	Yellow Crystal	노란색 크리스탈
ETC_20150317_007057	Green Crystal	초록색 크리스탈
ETC_20150317_007058	Blue Crystal	파란색 크리스탈
ETC_20150317_007059	Navy Crystal	남색 크리스탈
ETC_20150317_007060	Purple Crystal	보라색 크리스탈
ETC_20150317_007061	Confirm	확인용
ETC_20150317_007062	Thorn Forest Gateway 1	가시숲 관문 1
ETC_20150317_007063	Thorn Forest Gateway 2	가시숲 관문 2
ETC_20150317_007064	Thorn Forest Gateway 3	가시숲 관문 3
ETC_20150317_007065	Thorn Forest Gateway 4	가시숲 관문 4
ETC_20150317_007066	Thorn Forest Gateway 5	가시숲 관문 5
ETC_20150317_007067	Thorn Forest Gateway 6	가시숲 관문 6
ETC_20150317_007068	Royal Tomb Entrance	왕릉 입구
ETC_20150317_007069	Canyon Area Device 1	협곡지대 장치 1
ETC_20150317_007070	Canyon Area Device 2	협곡지대 장치 2
ETC_20150317_007071	Canyon Area Device 3	협곡지대 장치 3
ETC_20150317_007072	Canyon Area Device 4	협곡지대 장치 4
ETC_20150317_007073	Canyon Area Device 5	협곡지대 장치 5
ETC_20150317_007074	Canyon Area Device 6	협곡지대 장치 6
ETC_20150317_007075	Canyon Area Device 7	협곡지대 장치 7
ETC_20150317_007076	Magic Square of Thorn Forest	마법진 가시숲
ETC_20150317_007077	Magic Square of Petrified Town	마법진 석화된 도시
ETC_20150317_007078	Magic Square of Underground Base	마법진 지하요새
ETC_20150317_007079	Ruined Statue set by Boroko	보로코가 설치해둔 유적 석상
ETC_20150317_007080	Table 1	선반탁자1
ETC_20150317_007081	Lost Stuff of Vendor 1	행상인이 잃어버린 물건1
ETC_20150317_007082	Lost Stuff of Vendor 2	행상인이 잃어버린 물건2
ETC_20150317_007083	Relic of Soldier	병사의 유물
ETC_20150317_007084	Steel-barred Window	철창
ETC_20150317_007085	Steel-barred Window 1	철창1
ETC_20150317_007086	Literature 1	문헌1
ETC_20150317_007087	Literature 2	문헌2
ETC_20150317_007088	Literature 3	문헌3
ETC_20150317_007089	Discolored Grass of Siauliai	샤울레이 변색된 풀
ETC_20150317_007090	Large Discolored Grass of Siauliai	큰 샤울레이 변색된 풀
ETC_20150317_007091	Petrifaction 1	석화물 1
ETC_20150317_007092	Petrifaction 2	석화물 2
ETC_20150317_007093	Petrifaction 3	석화물 3
ETC_20150317_007094	Stone 1	석재 1
ETC_20150317_007095	Stone 2	석재 2
ETC_20150317_007096	Pile of Stones	돌무더기
ETC_20150317_007097	Crystal	크리스탈
ETC_20150317_007098	Background Rock	배경 돌
ETC_20150317_007099	Fence	울타리
ETC_20150317_007100	Stack of Wagons	수레더미
ETC_20150317_007101	Dummy Pillar1	더미기둥1
ETC_20150317_007102	Dummy Pillar2	더미기둥2
ETC_20150317_007103	Crystal Pillar	수정기둥
ETC_20150317_007104	Revelation Slate	계시 석판
ETC_20150317_007105	Stack of Skulls	해골더미
ETC_20150317_007106	Gray Golem Rock	회색골램바위
ETC_20150317_007107	Stack of Furniture	가구더미
ETC_20150317_007108	Block the Thorn Forest Raid 1	가시숲 레이드 길막1
ETC_20150317_007109	Block the Thorn Forest Raid 2	가시숲 레이드 길막2
ETC_20150317_007110	Bouquet 1	꽃다발1
ETC_20150317_007111	Bouquet 2	꽃다발2
ETC_20150317_007112	Cat	고양이
ETC_20150317_007113	Royal Cube	왕릉 큐브
ETC_20150317_007114	Royal Tombstone01	왕릉비석01
ETC_20150317_007115	Royal Tombstone02	왕릉비석02
ETC_20150317_007116	Royal Stone Lentern	왕릉 석등
ETC_20150317_007117	Brickwall	벽돌벽
ETC_20150317_007118	Broken Moving Trap	부서진 이동트랩
ETC_20150317_007119	Transparency Target	투명 타겟
ETC_20150317_007120	Destroyed Moving Trap	파괴된 이동트랩
ETC_20150317_007121	Mage Tower Defense	마법사의 탑 디펜스
ETC_20150317_007122	Mage Tower Gate	마법사의 탑 게이트
ETC_20150317_007123	Mage Tower Offense	마법사의 탑 오펜스
ETC_20150317_007124	Path	대길이
ETC_20150317_007125	Start Infinite Game	무한게임 시작
ETC_20150317_007126	Warp ke daerah lain	다른 지역으로 워프
ETC_20150317_007127	Kertas yang jatuh ke lantai	바닥에 떨어진 종이
ETC_20150317_007128	Hogma Stone Statue	호그마 석상
ETC_20150317_007129	Hogma Battle Master Stone Statue	호그마 전투대장 석상
ETC_20150317_007130	Hogma Stone Statue 2	호그마 석상2
ETC_20150317_007131	Hogma Shaman Stone Statue	호그마 주술사 석상
ETC_20150317_007132	Hogma Stone Statue01	호그마 석상01
ETC_20150317_007133	Treasure Chest 3cm	보물 상자 3cm
ETC_20150317_007134	Treasure Chest Katyne	보물 상자 카틴
ETC_20150317_007135	Treasure Chest Historic Site	보물 상자 유적지대
ETC_20150317_007136	Treasure Chest Siauliai	보물 상자 샤울레이
ETC_20150317_007137	Treasure Chest Isolation Highland	보물 상자 고립고원
ETC_20150317_007138	Peralatan yang rusak	망가진 장치
ETC_20150317_007139	Iron Gates	철문
ETC_20150317_007140	Treasure Chest Valley	보물 상자 협곡
ETC_20150317_007141	Treasure Chest Petrifiaction City	보물 상자 석화도시
ETC_20150317_007142	Treasure Chest Prison	보물 상자 감옥
ETC_20150317_007143	Mage Tower Chair	마법사의 탑 의자
ETC_20150317_007144	Mage Tower Cogwheel	마법사의 탑 톱니바퀴
